Date,AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BMRN,CA,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTRP,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ENDP,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HSIC,ILMN,INCY,INTC,INTU,ISRG,JD,KHC,LBTYA,LBTYK,LLTC,LRCX,LVNTA,MAR,MAT,MDLZ,MNST,MSFT,MU,MXIM,MYL,NCLH,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PCLN,PYPL,QCOM,QVCA,REGN,ROST,SBAC,SBUX,SIRI,SRCL,STX,SWKS,SYMC,TMUS,TRIP,TSCO,TSLA,TXN,ULTA,VIAB,VOD,VRSK,VRTX,WBA,WDC,WFM,XLNX,XRAY,YHOO
2014-01-02,24.877567,75.224743,59.290001,45.902619,66.015855,49.25,46.529999,133.440002,16.698779,109.871467,397.970001,17.573551,50.887632,79.796323,179.990005,280.329987,69.269997,30.441219,85.970001,55.07,64.379997,134.759995,49.296372,110.939496,20.312049,26.670701,24.705,49.419998,62.490002,45.52887,41.259998,57.75,56.400002,22.83,22.702018,65.5,69.959999,67.814712,43.817445,54.709999,58.200001,34.252684,34.83645,73.553271,556.004972,557.117134,113.489998,110.339996,51.23,23.849565,73.685482,380.01001,,,45.344922,42.005001,42.00214,52.408723,29.176902,47.38495,41.626182,33.434004,66.779999,34.717175,21.66,25.584816,42.580002,34.639999,51.831429,38.138347,74.123232,15.231763,43.919998,128.759995,41.40743,53.869138,1145.439941,,68.28992,24.712352,274.589996,36.226514,88.419998,37.276801,3.5,114.879997,49.092218,26.736734,17.693265,33.369999,80.480003,75.074435,150.100006,40.327474,95.910004,81.515363,34.61343,65.120003,73.830002,54.098871,77.530384,55.035297,43.216848,47.321196,39.59
2014-01-03,26.035119,73.572368,59.16,46.210004,66.735033,48.900002,46.450001,131.720001,16.66072,108.609556,396.440002,17.787508,51.080934,80.245014,175.279999,277.399994,69.089996,30.404486,84.904999,54.700001,64.290001,133.369995,48.932277,110.449824,20.293583,26.840639,22.764999,49.16,62.48,45.263161,41.060001,57.799999,56.57,22.68,22.415824,65.169998,70.0,67.804911,43.620408,54.560001,58.040001,33.881221,34.416027,72.682877,551.948999,553.053047,113.910004,108.610001,51.990002,23.840318,73.549639,373.459991,,,45.273381,41.98,42.095727,52.399007,29.248161,47.084925,41.169427,33.376375,67.519997,34.483609,20.969999,26.383766,42.720001,34.639999,51.871429,38.053431,74.02858,15.049289,43.560001,129.039993,41.55446,53.979622,1132.680054,,67.88942,24.63621,271.75,36.255783,87.809998,37.17053,3.57,115.050003,50.341452,27.048988,17.4293,32.279999,80.919998,74.761626,149.559998,40.505254,94.919998,81.18724,34.203802,65.129997,73.449997,54.280378,78.093013,54.283107,42.887808,47.548132,40.119999
2014-01-06,26.515798,73.973559,58.119999,45.949195,65.974507,48.549999,46.110001,129.860001,16.451392,107.670243,393.630005,17.583277,50.732987,78.918895,176.630005,274.970001,67.099998,30.239194,81.309998,54.200001,63.919998,135.0,48.884371,109.611729,20.321282,26.642378,22.215,48.935001,61.009998,44.695961,40.365002,57.860001,56.759998,22.530001,21.792928,64.809998,69.879997,67.569752,42.860404,57.200001,58.110001,33.499984,34.024934,71.626665,558.102883,559.219245,113.650002,108.870003,52.310001,23.544393,73.491415,370.940002,,,45.978539,42.544998,41.899193,51.728721,28.909091,46.891359,40.949833,33.16507,66.459999,33.754886,20.67,26.594983,42.259998,33.959999,51.367142,37.883591,73.858203,15.250971,43.119999,129.520004,41.196074,54.467583,1139.530029,,67.712452,24.686971,268.859985,36.182617,87.82,36.793753,3.83,114.75,50.45663,26.961166,17.451925,33.48,80.379997,73.764539,147.0,40.168411,92.910004,80.371623,34.497672,63.650002,75.5,54.586075,77.727304,52.364055,42.699785,47.261998,39.93
2014-01-07,26.39808,73.44453,58.970001,46.191375,66.776359,49.68,47.009998,133.169998,16.527511,110.469211,398.029999,17.816683,51.216251,78.978718,178.820007,273.519989,68.540001,30.716704,82.305,55.259998,63.939999,138.080002,50.618608,109.10322,20.598263,26.765111,23.01,49.560001,60.099998,44.425141,39.990002,56.93,56.59,23.1,22.251682,66.400002,69.839996,70.009551,43.04806,57.919998,58.400002,33.597736,34.19115,71.176799,568.862096,570.000007,115.32,112.510002,51.959999,23.664613,74.772227,373.76001,,,45.871231,42.535,41.974062,52.369865,29.894351,47.094602,40.440377,33.434004,67.739998,34.016478,21.73,26.429684,42.98,33.880001,48.5,38.660203,75.429457,15.500671,42.970001,133.009995,41.434997,54.430755,1163.069946,,68.215407,24.670051,274.070007,35.98263,88.559998,37.296124,3.86,116.059998,52.095694,27.117295,17.640472,33.220001,84.910004,74.22398,149.360001,39.953207,94.459999,80.934119,34.560001,63.610001,74.489998,54.939536,80.315403,53.106602,42.793798,47.992139,40.919998
2014-01-08,27.104382,73.909644,58.900002,46.303149,66.420908,50.240002,46.68,134.0,16.575085,109.947366,401.920013,17.836134,51.979804,79.447346,181.789993,290.01001,69.790001,30.845264,83.730003,54.32,64.57,136.089996,50.541955,107.398778,20.579799,26.651819,22.254999,49.974998,61.27,43.234539,39.07,57.959999,56.639999,23.309999,22.041244,69.93,71.029999,68.892534,43.04806,58.23,58.709999,33.040544,33.624066,71.84182,570.045943,571.186165,117.260002,113.970001,54.740002,23.516651,74.353969,380.459991,,,45.651509,42.224998,42.282903,52.632152,29.523341,47.549483,40.132944,33.443607,68.389999,33.409207,23.870001,26.429684,44.73,34.32,48.712856,38.878033,77.994568,15.711958,43.830002,132.580002,41.131745,54.292655,1157.5,,68.625223,24.500852,273.5,35.948487,89.040001,37.692223,3.77,115.910004,52.83106,27.244147,17.602763,33.310001,85.150002,74.634542,151.279999,40.505254,94.169998,81.252865,34.533288,63.360001,75.230003,56.706851,81.028069,52.045822,43.16044,48.080941,41.02
2014-01-09,28.860331,72.965812,59.09,46.126172,66.652358,51.080002,47.619999,134.070007,16.556055,112.803267,401.01001,17.797232,51.448215,69.54634,175.520004,289.75,70.18,31.084017,84.349998,55.02,64.699997,136.009995,50.666514,111.598677,20.395143,27.05778,20.245001,49.764999,60.349998,43.295861,39.220001,56.48,56.43,22.75,21.914983,69.019997,72.379997,68.147861,43.714234,57.220001,58.610001,31.857732,32.753888,72.66332,564.556416,565.685676,117.529999,114.800003,56.169998,23.405679,74.538779,386.779999,,,45.452221,42.040001,42.348414,52.651581,29.511062,47.413988,39.957272,33.962263,67.550003,33.194327,23.24,26.11745,45.099998,34.720001,48.150002,38.499199,75.505174,15.12612,43.060001,132.490005,40.920389,54.320274,1153.689941,,68.839447,24.153981,267.619995,36.411868,87.839996,37.484512,3.79,116.010002,51.395768,27.048988,17.730975,33.029999,85.169998,74.976676,147.529999,40.29005,92.290001,80.624744,34.586717,63.139999,76.32,58.407291,79.630867,51.592578,43.038225,48.258543,40.919998
2014-01-10,28.791663,72.478938,59.529999,46.135485,66.420908,51.470001,48.200001,135.210007,16.62266,111.949342,397.660004,17.68053,51.515872,69.735788,179.660004,299.309998,69.82,31.240128,84.904999,55.18,65.040001,136.419998,51.298888,110.977164,20.515168,27.26548,19.475,50.235001,60.130001,42.93306,38.775002,57.209999,55.889999,23.01,21.952861,70.459999,72.860001,68.196849,44.75572,57.939999,58.299999,32.102115,32.714778,73.220764,564.526426,565.655647,116.199997,116.669998,59.970001,23.609128,74.159423,420.149994,,,45.80991,42.43,42.516872,53.312155,29.92138,47.694655,39.755243,34.384869,69.82,33.670803,23.709999,25.851132,45.970001,35.25,47.44857,38.234011,77.398246,15.106912,43.0,132.990005,40.773359,54.495202,1148.839966,,68.80219,24.1286,274.380005,36.411868,88.32,37.518325,3.7,115.419998,51.732442,27.078262,17.700807,33.02,86.800003,74.859377,145.720001,40.336833,92.330002,80.062247,34.453147,62.93,78.209999,57.662155,80.137235,50.686092,43.019422,48.298012,41.23
2014-01-13,28.104979,72.858376,58.599998,45.520718,65.346272,51.57,46.299999,130.610001,16.479935,110.440748,390.980011,17.379047,50.877964,68.100577,171.0,283.670013,68.639999,30.707519,82.449997,53.830002,63.299999,134.220001,49.976651,108.076783,20.487471,26.840639,19.57,49.105,58.790001,41.61472,37.605,55.950001,55.130001,22.379999,22.112794,70.599998,72.620003,66.50173,44.502385,55.91,57.389999,31.212562,31.6295,71.528869,560.930026,562.05207,114.309998,113.93,59.110001,23.581384,72.962994,393.070007,,,45.86612,42.459999,41.637149,53.020726,29.275182,47.181707,39.228219,33.808587,69.720001,32.680484,23.33,25.676648,45.240002,34.84,48.115715,37.599463,74.198957,14.751569,42.939999,130.220001,40.047399,53.767866,1139.719971,,68.196782,23.47716,268.679993,35.748504,89.120003,36.286555,3.67,115.019997,51.86534,27.75156,16.742989,32.490002,84.449997,71.750826,139.339996,39.522799,88.889999,79.143497,33.856515,62.450001,77.040001,57.509307,79.340177,50.62823,42.474161,47.666537,39.990002
2014-01-14,28.320795,74.308119,60.369999,46.303149,66.090247,52.639999,47.439999,137.660004,16.774899,111.693168,397.540009,17.009486,53.41993,66.495277,172.869995,297.470001,71.339996,31.230943,83.519997,55.07,65.110001,137.339996,50.599445,109.451644,20.690591,27.26548,20.049999,50.165001,60.060001,42.227902,37.860001,56.110001,55.27,22.459999,22.289562,72.269997,73.010002,67.932295,45.234239,57.740002,57.98,31.114808,31.580614,73.338116,574.126886,575.275276,115.389999,121.510002,63.459999,24.515392,73.984335,419.880005,,,45.47266,42.139999,42.29226,54.293299,29.58722,47.752727,38.999843,34.000682,69.220001,33.427892,23.67,25.933782,46.220001,35.849998,48.279999,38.063535,75.25908,15.212556,44.119999,132.600006,40.212805,53.970414,1159.209961,,68.355117,23.807111,300.320007,35.704603,90.57,36.45079,3.67,116.550003,53.451248,28.219941,16.750529,32.939999,84.309998,72.679478,161.270004,40.552037,88.760002,79.34037,34.506576,63.0,79.379997,57.318245,82.415885,51.862594,43.292055,48.080941,41.139999
2014-01-15,28.291365,75.800016,61.68,46.591905,66.205972,53.290001,49.150002,137.029999,17.060349,112.442724,395.869995,16.912233,55.063027,67.143373,170.5,296.720001,71.730003,31.331955,82.675003,55.52,65.230003,136.039993,51.806701,109.461056,21.032204,27.595914,20.17,50.514999,62.98,42.243229,37.924999,56.630001,55.189999,21.93,22.638889,70.980003,73.209999,68.020477,43.21695,57.599998,57.799999,31.261438,31.883711,73.572835,573.737269,574.884895,115.800003,121.120003,62.419998,24.663354,74.684687,412.799988,,,45.4931,42.105,43.181343,54.351586,29.67076,48.217284,38.868086,34.288823,69.089996,34.343469,23.33,26.099083,45.459999,36.889999,47.197144,41.207873,75.088703,15.375822,45.389999,133.139999,40.102534,54.218998,1172.859985,,69.398283,24.02707,287.48999,35.494862,90.669998,36.803416,3.69,117.720001,53.903096,28.405342,17.293546,32.529999,84.339996,73.490831,164.130005,40.739172,85.889999,79.649746,34.666865,63.43,78.769997,56.831042,83.438,51.514652,44.533,47.666537,41.07
2014-01-16,28.781853,75.377065,61.630001,46.405611,65.974507,53.599998,48.740002,139.809998,16.774899,112.936099,395.799988,16.853882,53.574575,66.953933,173.0,294.0,72.660004,31.267675,83.800003,55.389999,64.970001,134.960007,51.298888,108.820712,21.032204,25.717164,20.575001,50.150002,61.349998,41.911091,37.66,55.360001,54.610001,21.540001,22.617845,70.379997,72.900002,67.099433,43.789294,57.189999,57.389999,31.105033,31.74683,76.184018,577.533436,578.688667,115.779999,125.260002,63.48,24.543136,74.694417,414.390015,,,45.304039,41.990002,43.321726,53.331584,29.599511,48.943157,38.955922,34.288823,69.540001,34.464924,23.129999,26.181733,45.41,36.91,47.382858,40.990042,75.647156,15.42384,46.0,133.720001,40.387406,54.550445,1184.650024,,69.593875,23.857871,290.480011,35.158305,90.720001,36.368673,3.67,118.400002,53.74362,27.927203,17.414216,32.599998,84.760002,72.640376,170.970001,40.580106,82.75,79.630999,34.577816,64.120003,81.0,57.213161,83.409862,50.954081,44.429587,47.6172,40.34
